id,firstname,lastname,email,Major,Major mark,Birthday
1,Delilah,Koehler,Delilah.Koehler@yopmail.com,SOIL SCIENCE,4,1995-05-30
2,Mildrid,Roxanna,Mildrid.Roxanna@yopmail.com,FOOD SCIENCE,7,1995-08-04
3,Joceline,Destinee,Joceline.Destinee@yopmail.com,FOOD SCIENCE,4,1996-12-17
4,Bee,Chobot,Bee.Chobot@yopmail.com,SOIL SCIENCE,7,1995-09-13
5,Pierette,Mich,Pierette.Mich@yopmail.com,SOIL SCIENCE,5,1995-12-15
6,Jackie,Ricki,Jackie.Ricki@yopmail.com,JOURNALISM,5,1996-05-05
7,Carree,Jacqui,Carree.Jacqui@yopmail.com,SOIL SCIENCE,8,1995-05-27
8,Barbara,Faria,Barbara.Faria@yopmail.com,JOURNALISM,8,1995-08-28
9,Clary,Sperling,Clary.Sperling@yopmail.com,PLANT SCIENCE AND AGRONOMY,10,1995-09-15
10,Ulrike,Valerio,Ulrike.Valerio@yopmail.com,SOIL SCIENCE,1,1995-07-10
11,Juliane,Brian,Juliane.Brian@yopmail.com,COMMUNICATION TECHNOLOGIES,8,1996-09-08
12,Ann-Marie,Izaak,Ann-Marie.Izaak@yopmail.com,FOOD SCIENCE,3,1995-05-09
13,Steffane,Jammal,Steffane.Jammal@yopmail.com,COMPUTER AND INFORMATION SYSTEMS,2,1996-12-13
14,Flory,Wadell,Flory.Wadell@yopmail.com,FOOD SCIENCE,8,1996-05-05
15,Ermengarde,Agle,Ermengarde.Agle@yopmail.com,PLANT SCIENCE AND AGRONOMY,6,1995-12-23
16,Aryn,Ricarda,Aryn.Ricarda@yopmail.com,SOIL SCIENCE,7,1995-12-27
17,Roslyn,Ries,Roslyn.Ries@yopmail.com,COMMUNICATION TECHNOLOGIES,5,1995-05-12
18,Darci,Dorothy,Darci.Dorothy@yopmail.com,SOIL SCIENCE,10,1996-12-09
19,Dyann,Mayeda,Dyann.Mayeda@yopmail.com,SOIL SCIENCE,5,1996-12-28
20,Dotty,Myrilla,Dotty.Myrilla@yopmail.com,JOURNALISM,10,1996-03-12
21,Claresta,Wallis,Claresta.Wallis@yopmail.com,PLANT SCIENCE AND AGRONOMY,7,1996-02-12
22,Alie,Elisha,Alie.Elisha@yopmail.com,PLANT SCIENCE AND AGRONOMY,9,1995-07-06
